# Hand-curated company -> headquarter overrides for the EITI-to-Orbis match (consumed by
# 3_33_match_eiti_companies_to_orbis.py, applied before any automatic matching).
# - match_substring: normalised substring, matched as a contiguous word-run inside the
#   normalised EITI company name. Longest substring wins (the script sorts by length),
#   so row order does not affect matching.
# - canonical_name: the operator/group the payment belongs to (display + Orbis lookup).
# - hq_iso2: headquarter country of that group (ISO2).
# - is_cbcr_filer: False = state-owned vehicle / national oil company that does NOT file
#   CbCR (its domestic payments must not land on a CbCR diagonal cell). Blank = consult
#   the Orbis universe's in_cbcr_universe flag for the canonical name.
# - group: the audit batch / country context the entry came from (documentation only).
# Provenance: the unmatched-value audit of eiti_company_hq_map.csv (~$300B recovered) +
# the A-Z country audit 2026-07-22 (docs/extractive/resource_correction_country_audit.md).
match_substring,canonical_name,hq_iso2,is_cbcr_filer,group
nigerian national petroleum,NNPC,NG,False,
nnpc,NNPC,NG,False,
petronas,Petronas,MY,,
petroliam nasional,Petronas,MY,,
sonatrach,Sonatrach,DZ,False,
pertamina,Pertamina,ID,,
petroleos mexicanos,Pemex,MX,,
pemex,Pemex,MX,,
petrobras,Petrobras,BR,,
petroleo brasileiro,Petrobras,BR,,
kuwait petroleum,Kuwait Petroleum Corp,KW,False,
kuwait oil company,Kuwait Oil Co,KW,False,
abu dhabi national oil,ADNOC,AE,,
adnoc,ADNOC,AE,,
qatar petroleum,QatarEnergy,QA,False,
qatarenergy,QatarEnergy,QA,False,
national iranian oil,NIOC,IR,False,
gazprom,Gazprom,RU,,
rosneft,Rosneft,RU,,
lukoil,Lukoil,RU,,
equinor,Equinor,NO,,
statoil,Equinor,NO,,
petoro,Petoro,NO,False,
energie beheer nederland,Energie Beheer Nederland,NL,False,
nederlandse aardolie,NAM (Shell/ExxonMobil),NL,,
ecopetrol,Ecopetrol,CO,,
ypf,YPF,AR,,
pdvsa,PDVSA,VE,False,
petronor,Petronor,AO,False,
sonangol,Sonangol,AO,False,
ghana national petroleum,GNPC,GH,False,
gnpc,GNPC,GH,False,
societe nationale des petroles du congo,SNPC,CG,False,
societe nationale des hydrocarbures,SNH,CM,False,
gabon oil company,Gabon Oil Co,GA,False,
petrosen,Petrosen,SN,False,
petroci,Petroci,CI,False,
glencore,Glencore,CH,,
trafigura,Trafigura,CH,,
vitol,Vitol,CH,,
barrick,Barrick Gold,CA,,
kinross,Kinross Gold,CA,,
iamgold,IAMGOLD,CA,,
b2gold,B2Gold,CA,,
endeavour mining,Endeavour Mining,GB,,
perseus mining,Perseus Mining,AU,,
anglogold ashanti,AngloGold Ashanti,ZA,,
gold fields,Gold Fields,ZA,,
harmony gold,Harmony Gold,ZA,,
newmont,Newmont,US,,
freeport,Freeport-McMoRan,US,,
rio tinto,Rio Tinto,GB,,
bhp,BHP,AU,,
vedanta,Vedanta,GB,,
anglo american,Anglo American,GB,,
china molybdenum,CMOC / China Molybdenum,CN,,
cmoc,CMOC / China Molybdenum,CN,,
zijin mining,Zijin Mining,CN,,
sinohydro,Sinohydro / PowerChina,CN,,
china national petroleum,CNPC,CN,,
cnooc,CNOOC,CN,,
sinopec,Sinopec,CN,,
shell,Shell,GB,,
totalenergies,TotalEnergies,FR,,
total e&p,TotalEnergies,FR,,
elf,TotalEnergies,FR,,
total land care,Total Land Care (NGO),MW,False,
total exploration,TotalEnergies,FR,,
total energies,TotalEnergies,FR,,
total upstream,TotalEnergies,FR,,
total holdings,TotalEnergies,FR,,
total norge,TotalEnergies,FR,,
total tengah,TotalEnergies,FR,,
total operators,TotalEnergies,FR,,
total tanzania,TotalEnergies,FR,,
total,TotalEnergies,FR,,
exxonmobil,ExxonMobil,US,,
exxon mobil,ExxonMobil,US,,
esso,ExxonMobil,US,,
chevron,Chevron,US,,
conocophillips,ConocoPhillips,US,,
eni ,Eni,IT,,
